Date,Open,High,Low,Close,Adj Close,Volume
2011-07-04,3.400000,3.520000,3.204000,3.204000,2.573361,0
2011-07-05,3.400000,3.520000,3.204000,3.204000,2.573361,121524494
2011-07-06,3.246000,3.327000,3.200000,3.250000,2.610307,90755710
2011-07-07,3.370000,3.670000,3.292000,3.650000,2.931575,70399227
2011-07-08,3.757000,3.846000,3.537000,3.585000,2.879369,48655577
2011-07-11,3.483000,3.523000,3.410000,3.495000,2.807084,61723889
2011-07-12,3.426000,3.540000,3.400000,3.500000,2.811100,50244365
2011-07-13,3.415000,3.550000,3.400000,3.511000,2.819935,51116057
2011-07-14,3.405000,3.620000,3.400000,3.540000,2.843226,37859136
2011-07-15,3.401000,3.480000,3.400000,3.429000,2.754075,51546172
2011-07-18,3.382000,3.435000,3.352000,3.370000,2.706688,40854206
2011-07-19,3.310000,3.426000,3.261000,3.400000,2.730783,31840663
2011-07-20,3.400000,3.489000,3.300000,3.300000,2.650465,19431936
2011-07-21,3.400000,3.435000,3.252000,3.273000,2.628780,80659826
2011-07-22,3.300000,3.348000,3.275000,3.301000,2.651268,31777492
2011-07-25,3.266000,3.320000,3.260000,3.292000,2.644040,11107064
2011-07-26,3.306000,3.320000,3.230000,3.280000,2.634402,16090218
2011-07-27,3.244000,3.299000,2.991000,3.073000,2.468145,23515086
2011-07-28,3.056000,3.181000,2.959000,3.030000,2.433609,24888527
2011-07-29,2.990000,3.021000,2.790000,2.950000,2.369356,23395273
2011-08-01,2.925000,2.990000,2.810000,2.818000,2.263337,13081266
2011-08-02,2.800000,2.800000,2.670000,2.721000,2.185429,20227137
2011-08-03,2.695000,2.705000,2.551000,2.621000,2.105112,19284795
2011-08-04,2.655000,2.730000,2.490000,2.501000,2.008732,19347420
2011-08-05,2.440000,2.651000,2.362000,2.626000,2.109128,26832426
2011-08-08,2.630000,2.819000,2.570000,2.597000,2.085836,9583085
2011-08-09,2.608000,2.647000,2.423000,2.549000,2.047284,11353373
2011-08-10,2.600000,2.700000,2.531000,2.551000,2.048890,11942222
2011-08-11,2.596000,2.740000,2.560000,2.670000,2.144468,13179456
2011-08-12,2.678000,2.830000,2.678000,2.782000,2.234423,11042140
2011-08-15,2.800000,2.847000,2.761000,2.821000,2.265746,10616908
2011-08-16,2.802000,2.840000,2.770000,2.810000,2.256912,6367059
2011-08-17,2.790000,2.820000,2.690000,2.760000,2.216753,7177555
2011-08-18,2.741000,2.760000,2.537000,2.667000,2.142058,8708710
2011-08-19,2.670000,2.698000,2.530000,2.617000,2.101899,9008343
2011-08-22,2.610000,2.675000,2.552000,2.619000,2.103506,3459002
2011-08-23,2.640000,2.641000,2.580000,2.613000,2.098687,3489725
2011-08-24,2.632000,2.683000,2.604000,2.650000,2.128404,3967535
2011-08-25,2.686000,2.700000,2.620000,2.680000,2.152499,8759080
2011-08-26,2.671000,2.674000,2.580000,2.625000,2.108324,6154206
2011-08-29,2.641000,2.699000,2.595000,2.645000,2.124388,3451085
2011-08-30,2.690000,2.869000,2.690000,2.810000,2.256912,18844188
2011-08-31,2.815000,3.060000,2.813000,3.000000,2.409514,14041967
2011-09-01,2.988000,3.004000,2.885000,2.960000,2.377387,12324718
2011-09-02,2.935000,2.967000,2.871000,2.942000,2.362930,9992911
2011-09-05,2.900000,2.940000,2.865000,2.912000,2.338835,9571987
2011-09-06,2.900000,2.970000,2.861000,2.932000,2.354898,15233775
2011-09-07,2.993000,3.041000,2.966000,2.997000,2.407104,8734501
2011-09-08,3.000000,3.104000,2.961000,2.983000,2.395860,12166026
2011-09-09,2.961000,3.050000,2.911000,2.963000,2.379797,5671698
2011-09-12,2.898000,2.960000,2.869000,2.909000,2.336425,7820823
2011-09-13,2.950000,2.960000,2.771000,2.803000,2.251289,7898642
2011-09-14,2.782000,2.889000,2.761000,2.880000,2.313133,7761852
2011-09-15,2.896000,2.971000,2.875000,2.936000,2.358111,25287469
2011-09-16,2.980000,3.038000,2.931000,2.991000,2.402286,14285045
2011-09-19,2.964000,3.020000,2.932000,2.950000,2.369356,21931601
2011-09-20,2.940000,2.973000,2.900000,2.951000,2.370159,8208403
2011-09-21,2.945000,2.961000,2.901000,2.938000,2.359717,43816266
2011-09-22,2.874000,2.910000,2.820000,2.820000,2.264943,27050062
2011-09-23,2.849000,2.849000,2.729000,2.788000,2.239242,7161189
2011-09-26,2.750000,2.830000,2.722000,2.766000,2.221572,20675819
2011-09-27,2.814000,2.949000,2.770000,2.932000,2.354898,21358935
2011-09-28,2.908000,2.990000,2.898000,2.951000,2.370159,11300228
2011-09-29,2.951000,3.094000,2.910000,3.073000,2.468145,13755960
2011-09-30,3.058000,3.140000,2.949000,2.972000,2.387025,12825284
2011-10-03,2.917000,2.945000,2.895000,2.922000,2.346866,52957849
2011-10-04,2.907000,3.030000,2.854000,2.984000,2.396663,9448487
2011-10-05,3.031000,3.038000,2.980000,3.036000,2.438428,5170992
2011-10-06,3.045000,3.150000,3.005000,3.145000,2.525973,7907963
2011-10-07,3.149000,3.253000,3.108000,3.216000,2.582999,10481583
2011-10-10,3.211000,3.294000,3.146000,3.294000,2.645646,4508855
2011-10-11,3.284000,3.340000,3.190000,3.200000,2.570148,6372384
2011-10-12,3.222000,3.295000,3.190000,3.240000,2.602275,4542097
2011-10-13,3.219000,3.275000,3.219000,3.246000,2.607094,4316845
